genre_id,movie_id
1,499549
2,499549
3,499549
4,499549
1,449088
2,449088
3,449088
1,2379713
2,2379713
5,2379713
1,1345836
5,1345836
6,5289954
1,401729
2,401729
4,401729
2,398286
7,398286
8,398286
9,398286
3,398286
10,398286
11,398286
1,2395427
2,2395427
4,2395427
2,417741
9,417741
3,417741
12,417741
1,2975590
2,2975590
4,2975590
1,348150
2,348150
4,348150
1,830515
2,830515
1,383574
2,383574
3,383574
1,1210819
2,1210819
13,1210819
1,770828
2,770828
3,770828
4,770828
1,499448
2,499448
9,499448
3,499448
1,1298650
2,1298650
3,1298650
1,1409024
2,1409024
8,1409024
9,1409024
3,1409024
4,1409024
2,2310332
3,2310332
1,948470
2,948470
3,948470
1,955308
2,955308
14,955308
15,955308
2,1170358
3,1170358
2,385752
9,385752
3,385752
14,120338
11,120338
1,3498820
2,3498820
4,3498820
1,1440129
2,1440129
4,1440129
5,1440129
1,369610
2,369610
4,369610
5,369610
1,316654
2,316654
3,316654
11,316654
1,1300854
2,1300854
4,1300854
1,376994
2,376994
3,376994
4,376994
5,376994
2,1453405
7,1453405
8,1453405
9,1453405
3,1453405
1,1055369
2,1055369
4,1055369
1,2109248
2,2109248
4,2109248
1,1872181
2,1872181
3,1872181
4,1872181
2,1216475
7,1216475
8,1216475
9,1216475
16,1216475
1,1133985
2,1133985
4,1133985
2,435761
7,435761
8,435761
9,435761
3,435761
1,438488
2,438488
4,438488
1,2820852
17,2820852
5,2820852
1,816711
2,816711
18,816711
4,816711
5,816711
1,1877832
2,1877832
3,1877832
4,1877832
5,1877832
1,1408101
2,1408101
4,1408101
2,1351685
3,1351685
1,473075
2,473075
3,473075
11,473075
1,1663662
2,1663662
4,1663662
1,1399103
2,1399103
4,1399103
1,367882
2,367882
3,367882
2,1979388
7,1979388
8,1979388
9,1979388
3,1979388
2,1217209
7,1217209
8,1217209
9,1217209
3,1217209
1,2660888
2,2660888
4,2660888
5,2660888
2,910970
7,910970
9,910970
4,910970
1,293564
8,293564
17,293564
5,293564
1,1190080
2,1190080
4,1190080
7,1067106
14,1067106
9,1067106
3,1067106
1,1617661
2,1617661
4,1617661
2,363771
9,363771
3,363771
1,3385516
2,3385516
4,3385516
1,468569
17,468569
14,468569
5,468569
2,1049413
7,1049413
8,1049413
9,1049413
1,892782
2,892782
7,892782
8,892782
9,892782
4,892782
1,371746
2,371746
4,371746
2,970179
14,970179
9,970179
12,970179
1,120891
8,120891
4,120891
13,120891
1,859163
2,859163
3,859163
18,859163
5,859163
1,1386697
2,1386697
8,1386697
4,1386697
8,413099
9,413099
3,413099
1,1631867
2,1631867
4,1631867
1,114898
2,114898
4,114898
5,114898
1,1046173
2,1046173
4,1046173
5,1046173
2,2096673
7,2096673
8,2096673
14,2096673
9,2096673
3,2096673
1,1228705
2,1228705
4,1228705
1,1735898
2,1735898
14,1735898
3,1735898
1,1587310
2,1587310
9,1587310
3,1587310
11,1587310
1,2103281
2,2103281
14,2103281
4,2103281
1,1335975
2,1335975
14,1335975
3,1335975
1,1843866
2,1843866
4,1843866
2,892791
7,892791
8,892791
9,892791
3,892791
1,1964418
2,1964418
9,1964418
12,1964418
4,1964418
1,2245084
2,2245084
7,2245084
8,2245084
14,2245084
9,2245084
4,2245084
2,1772341
7,1772341
8,1772341
9,1772341
4,1772341
2,338348
7,338348
9,338348
3,338348
1,1628841
2,1628841
4,1628841
2,892769
7,892769
9,892769
3,892769
1,181852
4,181852
1,2015381
2,2015381
4,2015381
2,816692
14,816692
4,816692
1,1375666
2,1375666
4,1375666
5,1375666
2,903624
3,903624
14,421715
3,421715
11,421715
1,1270798
2,1270798
4,1270798
2,1951266
4,1951266
1,963966
2,963966
9,963966
3,963966
1,409182
2,409182
14,409182
5,409182
2,2567026
9,2567026
3,2567026
2,413267
7,413267
8,413267
9,413267
3,413267
1,803096
2,803096
3,803096
1,1340138
2,1340138
4,1340138
2,980970
9,980970
3,980970
1,213149
14,213149
15,213149
11,213149
19,213149
1,418279
2,418279
4,418279
1,346491
2,346491
20,346491
14,346491
15,346491
11,346491
19,346491
2,373889
9,373889
3,373889
12,373889
2,330373
9,330373
3,330373
12,330373
1,448157
14,448157
14,480249
18,480249
4,480249
2,367594
8,367594
9,367594
3,367594
7,382932
8,382932
9,382932
3,382932
1,372784
2,372784
1,479952
2,479952
7,479952
8,479952
9,479952
2,1078912
8,1078912
9,1078912
3,1078912
1,458525
2,458525
3,458525
4,458525
5,458525
1,242653
4,242653
2,2294629
7,2294629
8,2294629
9,2294629
3,2294629
10,2294629
1,234215
4,234215
1,1981115
2,1981115
3,1981115
1,1392190
2,1392190
4,1392190
5,1392190
12,808151
5,808151
1,800369
2,800369
3,800369
2,397892
7,397892
8,397892
14,397892
9,397892
1,436339
2,436339
7,436339
8,436339
9,436339
3,436339
4,436339
1,1646987
2,1646987
3,1646987
8,1077368
3,1077368
18,1077368
1,2381249
2,2381249
5,2381249
14,780653
3,780653
18,780653
5,780653
1,918940
2,918940
14,918940
11,918940
2,389790
7,389790
8,389790
9,389790
1,1302011
2,1302011
7,1302011
8,1302011
9,1302011
1,938283
2,938283
9,938283
3,938283
1,317919
2,317919
5,317919
1,2334879
14,2334879
5,2334879
1,1305591
2,1305591
7,1305591
8,1305591
9,1305591
4,1305591
2,424095
7,424095
8,424095
9,424095
2,864835
7,864835
8,864835
9,864835
4,864835
2,332452
2,1277953
7,1277953
8,1277953
9,1277953
1,246460
2,246460
5,246460
1,120591
2,120591
4,120591
5,120591
1,120912
2,120912
8,120912
9,120912
3,120912
12,120912
4,120912
1,442933
2,442933
7,442933
3,442933
1,2267968
2,2267968
7,2267968
8,2267968
9,2267968
1,1229238
2,1229238
5,1229238
2,1446192
7,1446192
9,1446192
3,1446192
8,369441
17,369441
1,325710
14,325710
15,325710
19,325710
1,796366
2,796366
4,796366
1,145487
2,145487
3,145487
11,145487
1,1646971
2,1646971
7,1646971
8,1646971
9,1646971
3,1646971
1,2404233
2,2404233
3,2404233
1,382992
2,382992
4,382992
5,382992
1,409459
14,409459
12,409459
4,409459
1,122151
17,122151
5,122151
1,286716
4,286716
1,1583421
2,1583421
4,1583421
5,1583421
1,318649
2,318649
8,318649
5,318649
1,173840
2,173840
7,173840
3,173840
11,173840
4,173840
1,458339
2,458339
4,458339
1,143145
2,143145
5,143145
1,311113
2,311113
14,311113
15,311113
19,311113
7,1402488
8,1402488
9,1402488
10,1402488
1,800080
2,800080
4,800080
1,86759
17,86759
14,86759
12,86759
5,86759
2,3691740
9,3691740
3,3691740
2,1663202
14,1663202
5,1663202
13,1663202
2,1860353
7,1860353
8,1860353
9,1860353
16,1860353
2,1192628
7,1192628
8,1192628
9,1192628
13,1192628
2,1911658
7,1911658
8,1911658
9,1911658
1,440963
12,440963
5,440963
1,441773
2,441773
7,441773
8,441773
9,441773
1,478970
2,478970
8,478970
4,478970
2,1951264
4,1951264
5,1951264
2,1673434
14,1673434
3,1673434
11,1673434
2,407304
4,407304
5,407304
1,172156
8,172156
17,172156
5,172156
1,448694
2,448694
7,448694
8,448694
9,448694
3,448694
1,944835
17,944835
12,944835
5,944835
1,1959490
2,1959490
14,1959490
1,983193
2,983193
9,983193
12,983193
2,304141
9,304141
3,304141
12,304141
2,455824
14,455824
11,455824
19,455824
1,1815862
2,1815862
4,1815862
2,130623
7,130623
9,130623
5,130623
1,1680310
3,1680310
2,2692250
8,2692250
9,2692250
3,2692250
1,1001526
7,1001526
8,1001526
9,1001526
4,1001526
2,241527
9,241527
3,241527
1,790736
8,790736
3,790736
1,4262980
2,4262980
14,4262980
18,4262980
4,4262980
1,325980
2,325980
3,325980
3,1571403
2,1951265
4,1951265
5,1951265
12,382625
5,382625
2,2357291
7,2357291
8,2357291
9,2357291
10,2357291
1,290334
2,290334
3,290334
4,290334
5,290334
1,1596343
17,1596343
5,1596343
1,1515091
2,1515091
17,1515091
12,1515091
5,1515091
1,120657
2,120657
15,120657
1,1194173
2,1194173
5,1194173
1,118688
8,170016
9,170016
3,170016
1,319262
2,319262
4,319262
5,319262
1,120755
2,120755
5,120755
1,177971
2,177971
14,177971
5,177971
1,486576
2,486576
4,486576
5,486576
2,454876
14,454876
3,454876
1,259324
3,259324
5,259324
1,4196776
5,4196776
1,305357
2,305357
8,305357
17,305357
2,1446714
12,1446714
4,1446714
2,243585
7,243585
8,243585
9,243585
3,243585
1,1535108
14,1535108
4,1535108
5,1535108
1,296572
2,296572
4,296572
5,296572
1,811080
9,811080
16,811080
8,1341188
14,1341188
11,1341188
1,1013743
8,1013743
11,1013743
1,1483013
2,1483013
12,1483013
4,1483013
1,121766
2,121766
3,121766
4,121766
1,121765
2,121765
3,121765
4,121765
2,198781
7,198781
8,198781
9,198781
3,198781
1,1430132
2,1430132
4,1430132
5,1430132
1,120915
2,120915
3,120915
4,120915
2,481499
7,481499
8,481499
9,481499
3,481499
2,463872
8,463872
9,463872
3,463872
1,245562
14,245562
19,245562
1,2381991
2,2381991
14,2381991
3,2381991
2,1454468
14,1454468
4,1454468
5,1454468
1,118928
2,118928
5,118928
1,3949660
2,3949660
8,3949660
4,3949660
1,477347
2,477347
8,477347
9,477347
3,477347
1,2126355
2,2126355
14,2126355
5,2126355
1,120347
2,120347
